,iteration,best_fid,base_line_fid,in_range_fid
1,31250,-2.165516064382642e-10,0.7766041951337495,0.9636450409846693
1,6250,-2.165516064382642e-10,0.7500792124499962,0.9543238675389029
1,12500,-2.165516064382642e-10,0.7307175607945073,0.9397543837629408
1,18750,-2.165516064382642e-10,0.7461361377361054,0.9313822227967361
1,62500,-2.165516064382642e-10,0.7025461360164184,0.9095625495160895
1,25000,-2.165516064382642e-10,0.7258694711626532,0.9294963059950012
1,31250,-2.165516064382642e-10,0.7424175676221251,0.9473111480458745
1,37500,-2.165516064382642e-10,0.7087235546387118,0.9153093869717985
1,43750,-2.165516064382642e-10,0.711135550631935,0.9130597238368798
1,93750,-2.165516064382642e-10,0.6997076920545813,0.8906329995851783
1,50000,-2.165516064382642e-10,0.7187881600134659,0.9055324819631714
1,56250,-2.165516064382642e-10,0.7310733556617904,0.9131267266299572
1,62500,-2.165516064382642e-10,0.7060500479250629,0.8924348329443775
1,125000,-2.165516064382642e-10,0.7019126281005056,0.8921728821629978
1,68750,-2.165516064382642e-10,0.7158897678720927,0.909680227689886
1,75000,-2.165516064382642e-10,0.6982990105356934,0.8985248498038917
1,81250,-2.165516064382642e-10,0.6988765030416332,0.8926470335338473
1,87500,-2.165516064382642e-10,0.7106749890166366,0.8944861480472246
1,156250,-2.165516064382642e-10,0.6808781268369922,0.869847817447902
1,93750,-2.165516064382642e-10,0.688641087407732,0.8750752525522708
1,100000,-2.165516064382642e-10,0.6890673789242796,0.8708404317451368
1,106250,-2.165516064382642e-10,0.6905273962026199,0.8748888649504438
1,187500,-2.165516064382642e-10,0.6995959430245962,0.8960789772306288
1,112500,-2.165516064382642e-10,0.6987421610885268,0.8814881538183001
1,118750,-2.165516064382642e-10,0.6991518098665346,0.8815731669014786
