,iteration,best_fid,base_line_fid,in_range_fid
1,313,1.986258379993444e-16,0.41295320981097616,1.2669454944553498
1,626,1.986258379993444e-16,0.4162402306931159,1.2846354715012187
1,939,1.986258379993444e-16,0.4060129725116611,1.0919241912020832
1,1252,1.986258379993444e-16,0.35810403554134185,0.7092781092042719
1,1565,1.986258379993444e-16,0.43578987628452936,1.2885864188903735
1,1878,1.986258379993444e-16,0.38431243755099653,1.3847963262412768
1,2191,1.986258379993444e-16,0.3845346377722191,1.2211450665659882
1,2504,1.986258379993444e-16,0.3559458668682468,0.6671028890187432
1,2817,1.986258379993444e-16,0.35259030028953126,0.788970666915009
1,3130,1.986258379993444e-16,0.43257668543878647,1.252474511806377
1,3443,1.986258379993444e-16,0.35173584373366806,0.9733708212866957
1,3756,1.986258379993444e-16,0.36512256054601605,1.1204881828050217
1,4069,1.986258379993444e-16,0.38139766050926516,1.2280847775327053
1,4382,1.986258379993444e-16,0.4064870494084996,0.5056576134538637
1,4695,1.986258379993444e-16,0.34968561358792233,1.3353226991578335
1,5008,1.986258379993444e-16,0.4131753969033123,1.3889594306812334
1,5321,1.986258379993444e-16,0.34387587827270105,1.211841549020757
1,5634,1.986258379993444e-16,0.3954726765632617,1.1945830664327155
1,5947,1.986258379993444e-16,0.33152604950776865,0.8966178654800895
1,6260,1.986258379993444e-16,0.34556569723067876,1.2225913494503386
1,6573,1.986258379993444e-16,0.3949840424916049,1.4825561967760046
1,6886,1.986258379993444e-16,0.37545714239614886,1.1883015701397575
1,7199,1.986258379993444e-16,0.34831893140850567,1.1321995134623062
1,7512,1.986258379993444e-16,0.367210982701505,0.8492818432505749
1,7825,1.986258379993444e-16,0.3918392797300254,0.9380586479437312
1,8138,1.986258379993444e-16,0.338598706058722,0.9336191885639965
1,8451,1.986258379993444e-16,0.3621215515688657,0.5342895623867061
1,8764,1.986258379993444e-16,0.33110504157356635,0.9832656299621181
1,9077,1.986258379993444e-16,0.35248675333094437,0.34842658722038977
1,9390,1.986258379993444e-16,0.3598182902395387,1.0531900495000803
1,9703,1.986258379993444e-16,0.3910426223357798,1.1454973930925763
1,10016,1.986258379993444e-16,0.36986455795059897,0.37721279230919685
1,10329,1.986258379993444e-16,0.38948536807289846,0.4505478665057783
1,10642,1.986258379993444e-16,0.36220429663190273,0.5021456959444864
1,10955,1.986258379993444e-16,0.3734858736443798,1.187315169459341
1,11268,1.986258379993444e-16,0.3225818679553964,0.6393006941963616
1,11581,1.986258379993444e-16,0.35181504494662086,1.1869801793086867
1,11894,1.986258379993444e-16,0.3560063173905834,0.5213090354634818
1,12207,1.986258379993444e-16,0.3455492260463633,0.8639308334974138
1,12520,1.986258379993444e-16,0.44704087660126274,0.5598070848865242
1,12833,1.986258379993444e-16,0.3702823561394701,1.5101017780051054
1,13146,1.986258379993444e-16,0.3426958306601598,1.0965813592402478
1,13459,1.986258379993444e-16,0.39652730476656306,1.0785878581471136
1,13772,1.986258379993444e-16,0.3626659889204553,1.200182297099266
1,14085,1.986258379993444e-16,0.3161998232291514,1.1005957910451254
1,14398,1.986258379993444e-16,0.370966456596855,0.39130107551079457
1,14711,1.986258379993444e-16,0.3394006194128624,1.1450266699018075
1,15024,1.986258379993444e-16,0.40852328409027305,1.2511072377611931
1,15337,1.986258379993444e-16,0.3863250968461619,0.9408204014401722
1,15650,1.986258379993444e-16,0.40824598147431695,1.1305742829273926
1,15963,1.986258379993444e-16,0.35006450167512143,0.6944256149350835
1,16276,1.986258379993444e-16,0.42526045031744647,0.8072317060629006
1,16589,1.986258379993444e-16,0.3182761915700103,0.7841677232243155
1,16902,1.986258379993444e-16,0.39045470766563245,1.2383701394878068
1,17215,1.986258379993444e-16,0.3382522428630209,0.9661662882947715
1,17528,1.986258379993444e-16,0.37585780380896416,0.9857752880898158
1,17841,1.986258379993444e-16,0.3165288639399695,1.007869301088369
1,18154,1.986258379993444e-16,0.32701270665164645,0.8090444233590672
1,18467,1.986258379993444e-16,0.3505280134520529,0.36768550680966583
1,18780,1.986258379993444e-16,0.4194548834628042,1.134044232551068
1,19093,1.986258379993444e-16,0.37929661502745887,1.1304849241630375
1,19406,1.986258379993444e-16,0.364110416623707,0.40004751267794947
1,19719,1.986258379993444e-16,0.3163959101116403,0.30749157657306914
1,20032,1.986258379993444e-16,0.34525187567068044,0.8333856064213311
1,20345,1.986258379993444e-16,0.35117939859561254,0.5050065893069478
1,20658,1.986258379993444e-16,0.31990940127275136,1.0727191336965443
