,iteration,best_fid,base_line_fid,in_range_fid
1,10016,-2.165516064382642e-10,1.0395009293491624,1.1757193361947489
1,20032,-2.165516064382642e-10,1.0113678463095082,1.1317927046341043
1,20032,-2.165516064382642e-10,0.9896098930229027,1.1210458698707098
1,21284,-2.165516064382642e-10,0.9924503434436198,1.1170868031195025
1,30048,-2.165516064382642e-10,0.9827165332064748,1.0997712003363593
1,22536,-2.165516064382642e-10,0.9937530773461707,1.1181706645831806
1,23788,-2.165516064382642e-10,0.9970885919301437,1.1039945105815212
1,25040,-2.165516064382642e-10,0.9920247433136695,1.11070710278226
1,30048,-2.165516064382642e-10,0.9832397464288052,1.1032332001149459
1,40064,-2.165516064382642e-10,0.9791795541975408,1.1021699625894308
1,26292,-2.165516064382642e-10,0.9681916305297398,1.1091774009020934
1,27544,-2.165516064382642e-10,0.9607674632492346,1.0855433911386205
1,28796,-2.165516064382642e-10,0.9715767672448734,1.0992660891663426
1,50080,-2.165516064382642e-10,0.9491126400807949,1.063959126324296
1,30048,-2.165516064382642e-10,0.9779040141792877,1.0958491967667727
1,40064,-2.165516064382642e-10,0.968156630123317,1.073779216391729
1,31300,-2.165516064382642e-10,0.9747922998625788,1.100043028103731
1,32552,-2.165516064382642e-10,0.9787211787787391,1.0892809096679992
1,60096,-2.165516064382642e-10,0.9483326350260416,1.069440767142489
1,33804,-2.165516064382642e-10,0.963074275584862,1.075987235357982
1,50080,-2.165516064382642e-10,0.942149609012085,1.0677391204996163
1,35056,-2.165516064382642e-10,0.9759161925075797,1.091316200318276
1,36308,-2.165516064382642e-10,0.9404077133473167,1.077690416669505
1,70112,-2.165516064382642e-10,0.9372979677667783,1.0587327397659017
1,37560,-2.165516064382642e-10,0.9675260295192152,1.0914462503177789
1,60096,-2.165516064382642e-10,0.9408587195767653,1.0582968935009915
1,38812,-2.165516064382642e-10,0.9525337078214601,1.0780226808054678
1,40064,-2.165516064382642e-10,0.9510655664711712,1.0824744734084817
1,80128,-2.165516064382642e-10,0.9581247909259745,1.0596027328840116
1,41316,-2.165516064382642e-10,0.9496993774170102,1.0939042361214664
1,42568,-2.165516064382642e-10,0.9502577883764183,1.0761444654740326
1,70112,-2.165516064382642e-10,0.9191446126186168,1.050475023667261
1,43820,-2.165516064382642e-10,0.9624382046424547,1.0726261099222172
1,90144,-2.165516064382642e-10,0.9323642149759279,1.0314265717270643
1,45072,-2.165516064382642e-10,0.9645534748379019,1.0781941029831938
